user_id,register_date,province,city_tier,gender,age_group,member_level
U00001,2026-05-26,江苏,一线,女,25-34,普通
U00002,2025-08-24,江苏,三线,男,18-24,普通
U00003,2026-05-07,上海,新一线,女,35-44,普通
U00004,2026-02-17,北京,一线,女,18-24,普通
U00005,2025-11-22,浙江,新一线,未知,25-34,普通
U00006,2025-08-21,四川,二线,女,35-44,白银
U00007,2026-04-03,江苏,三线,男,25-34,白银
U00008,2026-01-04,广东,一线,男,25-34,普通
U00009,2025-08-12,广东,一线,男,25-34,黄金
U00010,2025-09-24,四川,二线,男,25-34,黄金
U00011,2025-08-08,浙江,新一线,男,25-34,铂金
U00012,2026-05-26,广东,二线,女,35-44,普通
U00013,2025-07-19,四川,三线,男,18-24,黄金
U00014,2025-12-11,广东,三线,男,45+,普通
U00015,2025-11-15,浙江,新一线,女,25-34,白银
U00016,2026-02-07,湖北,二线,男,45+,普通
U00017,2025-08-18,上海,一线,男,18-24,白银
U00018,2026-05-04,江苏,三线,男,45+,普通
U00019,2026-04-12,上海,一线,女,25-34,普通
U00020,2026-05-27,四川,一线,男,18-24,普通
U00021,2025-11-14,浙江,一线,女,25-34,白银
U00022,2026-05-10,广东,新一线,男,18-24,铂金
U00023,2026-03-31,上海,二线,女,18-24,普通
U00024,2025-12-07,广东,一线,男,25-34,普通
U00025,2026-03-08,江苏,新一线,男,25-34,普通
U00026,2025-11-15,湖北,新一线,女,35-44,白银
U00027,2025-12-09,湖北,二线,男,25-34,普通
U00028,2025-10-26,江苏,二线,男,25-34,白银
U00029,2025-07-06,江苏,一线,男,35-44,黄金
U00030,2025-08-08,广东,二线,女,18-24,普通
U00031,2026-04-21,山东,新一线,女,35-44,普通
U00032,2025-08-21,湖北,二线,男,25-34,白银
U00033,2026-05-29,江苏,一线,男,25-34,黄金
U00034,2025-11-07,广东,新一线,女,18-24,普通
U00035,2026-02-24,广东,一线,男,35-44,白银
U00036,2025-07-28,上海,一线,女,35-44,普通
U00037,2026-03-08,山东,新一线,女,35-44,普通
U00038,2025-07-04,湖北,二线,女,35-44,普通
U00039,2026-04-13,山东,新一线,男,18-24,普通
U00040,2026-04-06,上海,二线,男,25-34,普通
U00041,2026-03-31,浙江,一线,未知,18-24,普通
U00042,2026-05-03,江苏,新一线,男,45+,白银
U00043,2026-04-25,上海,一线,男,25-34,普通
U00044,2025-11-13,广东,二线,男,25-34,白银
U00045,2025-12-03,山东,二线,女,45+,普通
U00046,2026-05-17,江苏,一线,女,25-34,普通
U00047,2025-12-28,江苏,新一线,男,18-24,黄金
U00048,2025-12-04,上海,二线,女,18-24,黄金
U00049,2025-11-15,江苏,一线,女,18-24,普通
U00050,2025-10-18,四川,新一线,女,35-44,普通
U00051,2025-11-08,上海,一线,女,35-44,普通
U00052,2025-12-20,浙江,二线,男,25-34,白银
U00053,2026-04-16,上海,一线,男,35-44,黄金
U00054,2026-04-08,上海,二线,女,18-24,普通
U00055,2025-12-07,四川,一线,女,18-24,普通
U00056,2025-08-24,四川,三线,未知,35-44,黄金
U00057,2025-11-01,浙江,新一线,女,18-24,白银
U00058,2025-12-20,湖北,新一线,男,35-44,普通
U00059,2025-07-22,山东,新一线,男,45+,普通
U00060,2025-10-27,广东,一线,女,25-34,普通
U00061,2025-08-07,北京,二线,女,25-34,铂金
U00062,2026-04-03,四川,一线,男,45+,普通
U00063,2025-11-15,上海,一线,女,25-34,白银
U00064,2026-02-11,江苏,三线,女,18-24,普通
U00065,2026-02-11,上海,新一线,男,18-24,白银
U00066,2025-12-19,四川,一线,女,25-34,普通
U00067,2026-01-28,四川,三线,女,25-34,普通
U00068,2026-01-13,浙江,二线,男,35-44,普通
U00069,2025-10-18,湖北,二线,女,25-34,普通
U00070,2026-03-02,浙江,一线,男,25-34,白银
U00071,2025-08-19,广东,二线,男,18-24,普通
U00072,2025-11-05,山东,一线,女,35-44,白银
U00073,2026-01-15,山东,三线,男,25-34,普通
U00074,2025-08-26,湖北,新一线,男,45+,普通
U00075,2025-07-28,广东,一线,女,35-44,白银
U00076,2026-04-15,四川,三线,女,35-44,普通
U00077,2026-04-09,山东,新一线,女,25-34,普通
U00078,2025-11-06,北京,三线,女,25-34,普通
