item_id,order_id,product_id,quantity,unit_price,item_amount
I0000001,O000001,P0067,1,261.59,261.59
I0000002,O000001,P0014,1,350.74,350.74
I0000003,O000002,P0060,1,575.9,575.9
I0000004,O000002,P0022,1,612.66,612.66
I0000005,O000003,P0070,1,193.21,193.21
I0000006,O000003,P0018,1,165.0,165.0
I0000007,O000004,P0021,1,94.71,94.71
I0000008,O000004,P0016,1,213.02,213.02
I0000009,O000005,P0020,1,489.0,489.0
I0000010,O000006,P0016,2,253.18,506.36
I0000011,O000007,P0031,1,499.0,499.0
I0000012,O000007,P0028,1,466.37,466.37
I0000013,O000008,P0024,1,296.28,296.28
I0000014,O000009,P0054,3,58.58,175.74
I0000015,O000010,P0039,1,595.8,595.8
I0000016,O000011,P0036,1,250.45,250.45
I0000017,O000012,P0037,1,281.51,281.51
I0000018,O000012,P0055,1,459.59,459.59
I0000019,O000013,P0030,3,478.23,1434.69
I0000020,O000013,P0038,1,281.64,281.64
I0000021,O000014,P0028,1,478.62,478.62
I0000022,O000015,P0044,1,262.89,262.89
I0000023,O000016,P0005,1,212.16,212.16
I0000024,O000017,P0073,1,397.19,397.19
I0000025,O000018,P0044,1,276.92,276.92
I0000026,O000018,P0049,1,511.82,511.82
I0000027,O000019,P0031,1,534.09,534.09
I0000028,O000020,P0004,2,454.1,908.2
I0000029,O000021,P0013,1,44.73,44.73
I0000030,O000021,P0067,1,243.73,243.73
I0000031,O000022,P0060,2,519.07,1038.14
I0000032,O000023,P0037,1,281.66,281.66
I0000033,O000024,P0014,1,309.95,309.95
I0000034,O000025,P0044,1,236.3,236.3
I0000035,O000026,P0058,1,151.59,151.59
I0000036,O000027,P0060,1,583.84,583.84
I0000037,O000027,P0013,1,47.9,47.9
I0000038,O000028,P0043,2,664.63,1329.26
I0000039,O000029,P0045,1,301.77,301.77
I0000040,O000030,P0053,1,196.1,196.1
I0000041,O000031,P0023,1,39.2,39.2
I0000042,O000032,P0040,3,161.51,484.53
I0000043,O000033,P0075,2,621.45,1242.9
I0000044,O000034,P0027,1,380.61,380.61
I0000045,O000035,P0075,1,560.57,560.57
I0000046,O000035,P0002,1,275.69,275.69
I0000047,O000035,P0066,1,434.69,434.69
I0000048,O000036,P0041,1,159.86,159.86
I0000049,O000037,P0054,1,67.42,67.42
I0000050,O000037,P0020,1,475.17,475.17
I0000051,O000038,P0054,2,67.68,135.36
I0000052,O000039,P0050,1,167.64,167.64
I0000053,O000039,P0046,1,453.01,453.01
I0000054,O000040,P0048,1,223.04,223.04
I0000055,O000041,P0036,1,255.98,255.98
I0000056,O000041,P0060,1,534.9,534.9
I0000057,O000042,P0002,1,283.72,283.72
I0000058,O000043,P0039,1,566.5,566.5
I0000059,O000043,P0073,1,418.17,418.17
I0000060,O000044,P0036,1,260.64,260.64
I0000061,O000045,P0058,1,147.32,147.32
I0000062,O000046,P0019,1,55.17,55.17
I0000063,O000047,P0045,1,310.6,310.6
I0000064,O000048,P0069,1,232.96,232.96
I0000065,O000048,P0030,1,493.29,493.29
I0000066,O000049,P0006,1,57.68,57.68
I0000067,O000050,P0075,1,637.85,637.85
I0000068,O000051,P0002,2,255.69,511.38
I0000069,O000052,P0012,1,624.76,624.76
I0000070,O000053,P0049,1,564.64,564.64
I0000071,O000054,P0059,1,625.21,625.21
I0000072,O000054,P0036,1,242.57,242.57
I0000073,O000054,P0055,2,400.16,800.32
I0000074,O000055,P0063,3,150.68,452.04
I0000075,O000056,P0057,1,162.69,162.69
I0000076,O000057,P0050,1,183.79,183.79
I0000077,O000057,P0035,1,364.19,364.19
I0000078,O000057,P0020,2,525.01,1050.02
I0000079,O000058,P0073,1,452.32,452.32
I0000080,O000059,P0026,1,336.02,336.02
I0000081,O000059,P0023,1,41.07,41.07
I0000082,O000060,P0018,1,173.77,173.77
I0000083,O000060,P0005,1,212.49,212.49
I0000084,O000061,P0044,2,235.9,471.8
I0000085,O000062,P0005,1,192.68,192.68
I0000086,O000062,P0019,2,53.08,106.16
I0000087,O000063,P0022,2,557.94,1115.88
I0000088,O000064,P0052,1,581.46,581.46
I0000089,O000065,P0016,1,243.87,243.87
I0000090,O000066,P0049,1,473.12,473.12
I0000091,O000067,P0061,1,236.56,236.56
