order_id,user_id,order_date,pay_time,province,channel,order_status,gross_amount,discount_amount,paid_amount
O000001,U00550,2026-04-05,2026-04-05 20:47:00,上海,搜索,paid,612.33,63.07,549.26
O000002,U00451,2026-04-05,2026-04-05 22:05:00,湖北,搜索,paid,1188.56,50.82,1137.74
O000003,U00116,2026-04-05,2026-04-05 14:56:00,广东,自然流量,paid,358.21,58.55,299.66
O000004,U00257,2026-04-05,2026-04-05 13:24:00,四川,搜索,paid,307.73,40.98,266.75
O000005,U00045,2026-04-05,2026-04-05 09:26:00,山东,直播,paid,489.0,69.96,419.04
O000006,U00748,2026-04-05,2026-04-05 16:00:00,湖北,直播,paid,506.36,10.41,495.95
O000007,U00511,2026-04-05,2026-04-05 15:56:00,浙江,推荐,paid,965.37,112.0,853.37
O000008,U00635,2026-04-05,2026-04-05 09:42:00,广东,推荐,paid,296.28,7.67,288.61
O000009,U00618,2026-04-05,,四川,搜索,cancelled,175.74,11.51,0.0
O000010,U00768,2026-04-05,,广东,推荐,cancelled,595.8,90.11,0.0
O000011,U00564,2026-04-05,2026-04-05 14:39:00,山东,自然流量,paid,250.45,13.42,237.03
O000012,U00496,2026-04-05,2026-04-05 12:39:00,上海,推荐,paid,741.1,56.78,684.32
O000013,U00533,2026-04-05,2026-04-05 14:51:00,山东,推荐,paid,1716.33,66.71,1649.62
O000014,U00425,2026-04-05,2026-04-05 10:19:00,四川,搜索,paid,478.62,31.14,447.48
O000015,U00564,2026-04-05,2026-04-05 13:12:00,山东,搜索,paid,262.89,45.64,217.25
O000016,U00347,2026-04-05,2026-04-05 18:29:00,江苏,广告,paid,212.16,25.53,186.63
O000017,U00424,2026-04-05,2026-04-05 14:36:00,湖北,广告,paid,397.19,42.0,355.19
O000018,U00363,2026-04-05,2026-04-05 17:45:00,山东,自然流量,paid,788.74,90.89,697.85
O000019,U00727,2026-04-05,2026-04-05 17:11:00,江苏,自然流量,paid,534.09,36.54,497.55
O000020,U00039,2026-04-05,2026-04-05 18:59:00,山东,直播,paid,908.2,40.55,867.65
O000021,U00537,2026-04-05,2026-04-05 11:00:00,北京,搜索,paid,288.46,38.71,249.75
O000022,U00046,2026-04-05,2026-04-05 17:01:00,江苏,推荐,paid,1038.14,148.03,890.11
O000023,U00320,2026-04-05,2026-04-05 11:17:00,山东,推荐,paid,281.66,25.51,256.15
O000024,U00281,2026-04-05,,湖北,自然流量,cancelled,309.95,21.99,0.0
O000025,U00291,2026-04-05,2026-04-05 09:06:00,浙江,推荐,paid,236.3,5.82,230.48
O000026,U00089,2026-04-05,2026-04-05 10:59:00,广东,搜索,paid,151.59,22.86,128.73
O000027,U00477,2026-04-05,2026-04-05 15:09:00,广东,推荐,paid,631.74,36.05,595.69
O000028,U00632,2026-04-05,2026-04-05 08:04:00,四川,自然流量,paid,1329.26,122.99,1206.27
O000029,U00360,2026-04-05,2026-04-05 11:20:00,上海,搜索,paid,301.77,11.01,290.76
O000030,U00073,2026-04-05,2026-04-05 23:24:00,山东,直播,paid,196.1,8.91,187.19
O000031,U00446,2026-04-05,2026-04-05 23:07:00,四川,推荐,paid,39.2,6.62,32.58
O000032,U00475,2026-04-05,2026-04-05 20:20:00,湖北,搜索,paid,484.53,18.12,466.41
O000033,U00677,2026-04-05,2026-04-05 12:42:00,湖北,自然流量,paid,1242.9,24.89,1218.01
O000034,U00545,2026-04-05,2026-04-05 17:58:00,广东,搜索,paid,380.61,42.34,338.27
O000035,U00446,2026-04-05,2026-04-05 19:07:00,四川,推荐,paid,1270.95,168.45,1102.5
O000036,U00032,2026-04-05,2026-04-05 14:42:00,湖北,自然流量,paid,159.86,14.33,145.53
O000037,U00143,2026-04-05,2026-04-05 12:46:00,山东,自然流量,paid,542.59,67.14,475.45
O000038,U00674,2026-04-05,,浙江,搜索,cancelled,135.36,17.77,0.0
O000039,U00185,2026-04-05,2026-04-05 16:26:00,广东,搜索,paid,620.65,85.0,535.65
O000040,U00591,2026-04-05,,北京,搜索,cancelled,223.04,29.1,0.0
O000041,U00749,2026-04-05,2026-04-05 10:43:00,北京,搜索,paid,790.88,95.62,695.26
O000042,U00594,2026-04-05,2026-04-05 18:26:00,江苏,搜索,paid,283.72,26.98,256.74
O000043,U00302,2026-04-05,2026-04-05 17:51:00,北京,搜索,paid,984.67,123.09,861.58
O000044,U00028,2026-04-05,2026-04-05 16:00:00,江苏,搜索,paid,260.64,16.69,243.95
O000045,U00619,2026-04-05,2026-04-05 15:31:00,浙江,自然流量,paid,147.32,21.39,125.93
O000046,U00541,2026-04-05,2026-04-05 21:49:00,北京,直播,paid,55.17,8.5,46.67
O000047,U00677,2026-04-05,2026-04-05 09:10:00,湖北,搜索,paid,310.6,46.94,263.66
O000048,U00488,2026-04-05,2026-04-05 08:18:00,上海,搜索,paid,726.25,115.65,610.6
O000049,U00460,2026-04-05,2026-04-05 21:39:00,四川,搜索,paid,57.68,4.42,53.26
O000050,U00280,2026-04-05,2026-04-05 14:33:00,山东,搜索,paid,637.85,89.21,548.64
O000051,U00707,2026-04-05,2026-04-05 11:43:00,山东,广告,paid,511.38,18.22,493.16
O000052,U00225,2026-04-05,2026-04-05 14:38:00,江苏,推荐,paid,624.76,101.86,522.9
O000053,U00726,2026-04-05,2026-04-05 13:57:00,四川,广告,paid,564.64,62.43,502.21
O000054,U00189,2026-04-05,2026-04-05 20:21:00,上海,自然流量,paid,1668.1,50.01,1618.09
O000055,U00265,2026-04-05,2026-04-05 23:06:00,广东,广告,paid,452.04,37.44,414.6
O000056,U00788,2026-04-05,2026-04-05 16:49:00,上海,搜索,paid,162.69,5.15,157.54
O000057,U00510,2026-04-05,2026-04-05 10:34:00,江苏,自然流量,paid,1598.0,143.45,1454.55
O000058,U00394,2026-04-05,2026-04-05 17:25:00,山东,广告,paid,452.32,33.18,419.14
O000059,U00349,2026-04-05,2026-04-05 11:40:00,山东,自然流量,paid,377.09,31.08,346.01
